200	0.000000	0.000000	0.001000	0.000000
400	0.002000	0.001000	0.001000	0.000000
600	0.004000	0.002000	0.000000	0.000000
800	0.000000	0.000000	0.016000	0.000000
1000	0.015000	0.000000	0.000000	0.000000
1200	0.016000	0.019000	0.004000	0.000000
1400	0.031000	0.000000	0.016000	0.000000
1600	0.040000	0.027000	0.015000	0.001000
1800	0.044000	0.015000	0.184000	0.001000
2000	0.196000	0.023000	0.037000	0.001000
2200	0.065000	0.031000	0.063000	0.000000
2400	0.073000	0.062000	0.100000	0.001000
2600	0.121000	0.039000	0.050000	0.000000
2800	0.104000	0.043000	0.071000	0.001000
3000	0.302000	0.102000	0.060000	0.002000
3200	0.103000	0.048000	0.118000	0.001000
3400	0.123000	0.069000	0.060000	0.000000
3600	0.126000	0.062000	0.079000	0.002000
3800	0.136000	0.070000	0.094000	0.000000
4000	0.164000	0.092000	0.079000	0.000000
4200	0.166000	0.095000	0.082000	0.000000
4400	0.190000	0.103000	0.093000	0.000000
4600	0.238000	0.096000	0.101000	0.015000
4800	0.218000	0.119000	0.119000	0.002000
5000	0.236000	0.135000	0.125000	0.000000
5200	0.253000	0.141000	0.138000	0.000000
5400	0.301000	0.150000	0.139000	0.000000
5600	0.312000	0.148000	0.165000	0.000000
5800	0.338000	0.158000	0.172000	0.000000
6000	0.359000	0.171000	0.190000	0.000000
6200	0.388000	0.200000	0.198000	0.003000
6400	0.390000	0.184000	0.232000	0.004000
6600	0.402000	0.747000	0.313000	0.000000
6800	0.459000	0.546000	0.231000	0.000000
7000	0.486000	0.243000	0.251000	0.004000
7200	0.512000	0.244000	0.268000	0.004000
7400	0.829000	0.263000	0.301000	0.000000
7600	0.569000	0.282000	0.314000	0.004000
7800	0.593000	0.308000	0.301000	0.000000
8000	0.661000	0.311000	0.341000	0.004000
8200	0.677000	0.320000	0.350000	0.019000
8400	0.680000	0.363000	0.361000	0.000000
8600	0.765000	0.382000	0.410000	0.005000
8800	0.757000	0.421000	0.571000	0.000000
9000	0.779000	0.414000	0.421000	0.004000
9200	0.815000	0.421000	0.454000	0.000000
9400	1.141000	0.431000	0.485000	0.015000
9600	0.920000	0.457000	0.497000	0.005000
9800	1.075000	0.467000	0.526000	0.005000
10000	1.041000	0.479000	0.549000	0.005000
10200	1.047000	0.526000	0.568000	0.000000
10400	1.091000	0.656000	0.545000	0.000000
10600	1.311000	0.609000	0.670000	0.000000
10800	1.781000	0.586000	0.628000	0.000000
11000	1.199000	0.642000	0.609000	0.016000
11200	1.263000	0.636000	0.685000	0.015000
11400	1.336000	0.664000	0.665000	0.015000
11600	1.514000	0.690000	0.709000	0.006000
11800	1.436000	0.775000	0.724000	0.000000
12000	1.540000	0.772000	0.749000	0.016000
12200	1.555000	0.800000	0.827000	0.000000
12400	1.667000	1.097000	1.325000	0.007000
12600	1.573000	0.811000	0.843000	0.015000
12800	1.711000	0.805000	0.863000	0.007000
13000	1.694000	0.871000	0.903000	0.007000
13200	1.723000	0.908000	0.896000	0.016000
13400	1.969000	0.913000	0.929000	0.008000
13600	1.947000	0.929000	0.970000	0.008000
13800	2.042000	0.967000	1.040000	0.022000
14000	1.977000	0.985000	1.021000	0.016000
14200	2.253000	1.066000	1.268000	0.008000
14400	2.070000	1.046000	1.078000	0.000000
14600	2.118000	1.085000	1.116000	0.016000
14800	2.190000	1.437000	1.123000	0.016000
15000	2.314000	1.141000	1.218000	0.009000
15200	2.302000	1.171000	1.202000	0.008000
15400	2.407000	1.205000	1.318000	0.015000
15600	2.533000	1.249000	1.257000	0.016000
15800	2.520000	1.283000	1.376000	0.010000
16000	2.609000	1.354000	1.338000	0.016000
16200	3.272000	1.311000	1.474000	0.009000
16400	2.715000	1.398000	1.788000	0.059000
16600	3.487000	1.497000	1.419000	0.015000
16800	2.830000	1.416000	1.473000	0.000000
17000	2.939000	1.574000	1.518000	0.009000
17200	3.091000	1.489000	1.529000	0.015000
17400	3.023000	1.593000	1.558000	0.015000
17600	3.186000	1.682000	1.620000	0.010000
17800	3.155000	1.598000	1.725000	0.015000
18000	3.434000	1.619000	1.819000	0.010000
18200	3.395000	1.761000	1.729000	0.000000
18400	3.422000	1.907000	1.770000	0.011000
18600	3.658000	1.760000	1.786000	0.000000
18800	3.577000	1.935000	1.814000	0.016000
19000	4.451000	1.845000	1.902000	0.016000
19200	3.790000	1.941000	2.160000	0.016000
19400	3.780000	1.937000	1.972000	0.017000
19600	3.992000	2.572000	2.511000	0.017000
19800	4.332000	2.398000	2.043000	0.016000
20000	4.411000	2.020000	2.107000	0.012000
